id,WKT,mgo,al2o3,sio2,cao,tio2,feo,potassium,thorium,uranium
0,"POLYGON ((-180.0 -90.0, 180.0 -90.0, 180.0 -87.5, -180.0 -87.5, -180.0 -90.0))",7.621300,28.670000,44.507000,15.633000,0.167270,4.942800,433.8900,0.7917,0.2151
1,"POLYGON ((-180.0 -87.5, -135.0 -87.5, -135.0 -82.5, -180.0 -82.5, -180.0 -87.5))",8.711000,25.362000,46.091000,14.741000,0.177810,5.962100,482.4000,0.9500,0.2584
2,"POLYGON ((-135.0 -87.5, -90.0 -87.5, -90.0 -82.5, -135.0 -82.5, -135.0 -87.5))",6.930300,26.251000,44.618000,16.314000,0.202210,5.628800,550.7200,0.9709,0.2641
3,"POLYGON ((-90.0 -87.5, -45.0 -87.5, -45.0 -82.5, -90.0 -82.5, -90.0 -87.5))",7.418800,27.185000,44.559000,15.268000,0.204160,5.149500,415.3800,0.7785,0.2115
4,"POLYGON ((-45.0 -87.5, 0.0 -87.5, 0.0 -82.5, -45.0 -82.5, -45.0 -87.5))",7.234500,27.037000,44.527000,17.081000,0.000000,4.895300,450.1800,0.7680,0.2087
5,"POLYGON ((0.0 -87.5, 45.0 -87.5, 45.0 -82.5, 0.0 -82.5, 0.0 -87.5))",6.813000,27.878000,44.713000,16.060000,0.077350,4.843300,391.7300,0.6967,0.1892
6,"POLYGON ((45.0 -87.5, 90.0 -87.5, 90.0 -82.5, 45.0 -82.5, 45.0 -87.5))",7.123600,27.823000,45.050000,15.689000,0.204220,4.447000,373.9700,0.6384,0.1733
7,"POLYGON ((90.0 -87.5, 135.0 -87.5, 135.0 -82.5, 90.0 -82.5, 90.0 -87.5))",7.335200,26.724000,44.785000,17.073000,0.055341,5.196600,423.6400,0.8196,0.2228
8,"POLYGON ((135.0 -87.5, 180.0 -87.5, 180.0 -82.5, 135.0 -82.5, 135.0 -87.5))",8.830000,27.912000,44.469000,15.420000,0.199490,5.334900,404.7200,0.8431,0.2292
9,"POLYGON ((-180.0 -82.5, -156.0 -82.5, -156.0 -77.5, -180.0 -77.5, -180.0 -82.5))",7.249800,21.724000,45.159000,15.409000,0.615840,8.150000,588.2800,1.2355,0.3363
