id,WKT,mgo,al2o3,sio2,cao,tio2,feo,potassium,thorium,uranium
0,"POLYGON ((-180.0 -90.0, 180.0 -90.0, 180.0 -89.0, -180.0 -89.0, -180.0 -90.0))",7.159800,28.312000,44.524000,15.341000,0.187100,4.924000,455.0700,0.7986,0.2170
1,"POLYGON ((-180.0 -89.0, -135.0 -89.0, -135.0 -87.0, -180.0 -87.0, -180.0 -89.0))",7.321200,26.332000,45.180000,15.487000,0.292660,5.188600,398.6300,0.7975,0.2167
2,"POLYGON ((-135.0 -89.0, -90.0 -89.0, -90.0 -87.0, -135.0 -87.0, -135.0 -89.0))",8.130400,26.880000,44.775000,15.435000,0.011051,5.008000,500.0600,0.8530,0.2319
3,"POLYGON ((-90.0 -89.0, -45.0 -89.0, -45.0 -87.0, -90.0 -87.0, -90.0 -89.0))",6.908400,27.580000,44.660000,14.942000,0.206190,5.252600,454.8000,0.7444,0.2022
4,"POLYGON ((-45.0 -89.0, 0.0 -89.0, 0.0 -87.0, -45.0 -87.0, -45.0 -89.0))",6.737900,27.247000,43.156000,16.800000,0.060510,5.395500,489.0400,0.8621,0.2344
5,"POLYGON ((0.0 -89.0, 45.0 -89.0, 45.0 -87.0, 0.0 -87.0, 0.0 -89.0))",8.837600,25.411000,45.108000,16.514000,0.056825,4.662300,393.8800,0.9747,0.2651
6,"POLYGON ((45.0 -89.0, 90.0 -89.0, 90.0 -87.0, 45.0 -87.0, 45.0 -89.0))",5.645500,28.094000,45.686000,15.324000,0.265890,4.800500,486.4900,0.6632,0.1801
7,"POLYGON ((90.0 -89.0, 135.0 -89.0, 135.0 -87.0, 90.0 -87.0, 90.0 -89.0))",7.344400,27.029000,45.296000,15.762000,0.119530,5.300900,498.8900,0.8075,0.2195
8,"POLYGON ((135.0 -89.0, 180.0 -89.0, 180.0 -87.0, 135.0 -87.0, 135.0 -89.0))",7.615500,30.338000,44.268000,14.061000,0.444220,4.485900,369.9000,0.7849,0.2133
9,"POLYGON ((-180.0 -87.0, -156.0 -87.0, -156.0 -85.0, -180.0 -85.0, -180.0 -87.0))",7.782300,25.157000,46.899000,13.699000,0.000000,5.864100,512.2200,0.9762,0.2655
10,"POLYGON ((-156.0 -87.0, -132.0 -87.0, -132.0 -85.0, -156.0 -85.0, -156.0 -87.0))",8.685900,24.688000,44.603000,15.509000,0.392770,5.848700,556.4100,0.8796,0.2391
11,"POLYGON ((-132.0 -87.0, -108.0 -87.0, -108.0 -85.0, -132.0 -85.0, -132.0 -87.0))",6.801300,24.326000,45.362000,15.999000,0.238940,5.990100,567.4800,1.0761,0.2928
12,"POLYGON ((-108.0 -87.0, -84.0 -87.0, -84.0 -85.0, -108.0 -85.0, -108.0 -87.0))",6.666400,23.821000,44.318000,16.554000,0.488330,5.903300,458.6800,0.9677,0.2632
13,"POLYGON ((-84.0 -87.0, -60.0 -87.0, -60.0 -85.0, -84.0 -85.0, -84.0 -87.0))",5.444900,30.341000,44.041000,13.760000,0.430380,4.752800,459.4600,0.8530,0.2319
14,"POLYGON ((-60.0 -87.0, -36.0 -87.0, -36.0 -85.0, -60.0 -85.0, -60.0 -87.0))",7.025600,26.802000,42.743000,16.904000,0.225240,4.988700,481.5200,0.7115,0.1932
15,"POLYGON ((-36.0 -87.0, -12.0 -87.0, -12.0 -85.0, -36.0 -85.0, -36.0 -87.0))",5.151500,24.987000,46.078000,16.205000,0.297910,5.237400,437.8600,0.9208,0.2504
16,"POLYGON ((-12.0 -87.0, 12.0 -87.0, 12.0 -85.0, -12.0 -85.0, -12.0 -87.0))",6.176500,27.205000,44.343000,17.519000,0.000000,4.797300,455.8900,0.8892,0.2418
17,"POLYGON ((12.0 -87.0, 36.0 -87.0, 36.0 -85.0, 12.0 -85.0, 12.0 -87.0))",4.946900,29.367000,44.294000,16.275000,0.257380,4.976300,541.7500,0.6518,0.1769
18,"POLYGON ((36.0 -87.0, 60.0 -87.0, 60.0 -85.0, 36.0 -85.0, 36.0 -87.0))",7.607600,26.335000,45.366000,14.910000,0.000000,5.236800,365.8100,0.6641,0.1803
19,"POLYGON ((60.0 -87.0, 84.0 -87.0, 84.0 -85.0, 60.0 -85.0, 60.0 -87.0))",5.024800,25.141000,45.683000,17.393000,0.497520,4.771500,425.3000,0.6790,0.1844
20,"POLYGON ((84.0 -87.0, 108.0 -87.0, 108.0 -85.0, 84.0 -85.0, 84.0 -87.0))",6.559100,27.803000,44.302000,15.496000,0.167930,5.090200,486.6000,0.7411,0.2013
21,"POLYGON ((108.0 -87.0, 132.0 -87.0, 132.0 -85.0, 108.0 -85.0, 108.0 -87.0))",6.338600,25.100000,45.904000,17.478000,0.106280,5.062900,503.6800,0.9179,0.2496
22,"POLYGON ((132.0 -87.0, 156.0 -87.0, 156.0 -85.0, 132.0 -85.0, 132.0 -87.0))",6.960300,24.028000,47.533000,16.317000,0.138390,5.816200,523.6100,0.9461,0.2573
23,"POLYGON ((156.0 -87.0, 180.0 -87.0, 180.0 -85.0, 156.0 -85.0, 156.0 -87.0))",8.850800,28.345000,42.961000,14.676000,0.518500,4.956200,414.0800,0.7490,0.2035
24,"POLYGON ((-180.0 -85.0, -162.0 -85.0, -162.0 -83.0, -180.0 -83.0, -180.0 -85.0))",8.665100,23.354000,46.869000,13.295000,0.259600,6.891400,423.0900,0.9549,0.2597
25,"POLYGON ((-162.0 -85.0, -144.0 -85.0, -144.0 -83.0, -162.0 -83.0, -162.0 -85.0))",7.995000,25.051000,46.281000,13.487000,0.384150,6.351100,318.9500,1.0305,0.2803
26,"POLYGON ((-144.0 -85.0, -126.0 -85.0, -126.0 -83.0, -144.0 -83.0, -144.0 -85.0))",8.121200,24.080000,44.578000,17.013000,0.410910,5.954700,594.6100,1.0101,0.2747
27,"POLYGON ((-126.0 -85.0, -108.0 -85.0, -108.0 -83.0, -126.0 -83.0, -126.0 -85.0))",7.301400,26.266000,43.946000,15.693000,0.124200,6.233900,527.8600,1.0093,0.2745
28,"POLYGON ((-108.0 -85.0, -90.0 -85.0, -90.0 -83.0, -108.0 -83.0, -108.0 -85.0))",4.258100,28.095000,45.496000,15.495000,0.199660,5.034200,629.0800,0.9197,0.2501
29,"POLYGON ((-90.0 -85.0, -72.0 -85.0, -72.0 -83.0, -90.0 -83.0, -90.0 -85.0))",8.596300,27.629000,41.005000,15.366000,0.297100,5.235700,364.1000,0.7847,0.2132
30,"POLYGON ((-72.0 -85.0, -54.0 -85.0, -54.0 -83.0, -72.0 -83.0, -72.0 -85.0))",7.089300,24.981000,45.846000,15.416000,0.069262,5.102200,399.9000,0.8775,0.2386
31,"POLYGON ((-54.0 -85.0, -36.0 -85.0, -36.0 -83.0, -54.0 -83.0, -54.0 -85.0))",9.949700,30.187000,40.313000,14.012000,0.092264,4.649500,357.3200,0.8513,0.2314
32,"POLYGON ((-36.0 -85.0, -18.0 -85.0, -18.0 -83.0, -36.0 -83.0, -36.0 -85.0))",6.316200,24.647000,45.597000,18.176000,0.000000,4.949300,450.2600,0.7235,0.1965
33,"POLYGON ((-18.0 -85.0, 0.0 -85.0, 0.0 -83.0, -18.0 -83.0, -18.0 -85.0))",6.001900,27.787000,45.332000,16.238000,0.000000,4.303100,475.2100,0.7264,0.1973
34,"POLYGON ((0.0 -85.0, 18.0 -85.0, 18.0 -83.0, 0.0 -83.0, 0.0 -85.0))",7.370600,24.705000,44.928000,16.403000,0.076130,4.574800,352.5100,0.7569,0.2056
35,"POLYGON ((18.0 -85.0, 36.0 -85.0, 36.0 -83.0, 18.0 -83.0, 18.0 -85.0))",6.271400,28.545000,43.053000,16.706000,0.062895,4.752900,363.9900,0.5974,0.1621
36,"POLYGON ((36.0 -85.0, 54.0 -85.0, 54.0 -83.0, 36.0 -83.0, 36.0 -85.0))",6.773600,31.037000,43.020000,13.410000,0.000000,4.536100,389.5700,0.6682,0.1814
37,"POLYGON ((54.0 -85.0, 72.0 -85.0, 72.0 -83.0, 54.0 -83.0, 54.0 -85.0))",8.159300,24.424000,45.061000,15.891000,0.223640,4.778400,251.3800,0.6834,0.1856
38,"POLYGON ((72.0 -85.0, 90.0 -85.0, 90.0 -83.0, 72.0 -83.0, 72.0 -85.0))",6.523000,28.402000,43.128000,15.682000,0.170300,4.467200,407.6700,0.6262,0.1699
39,"POLYGON ((90.0 -85.0, 108.0 -85.0, 108.0 -83.0, 90.0 -83.0, 90.0 -85.0))",7.135900,26.850000,44.422000,15.948000,0.340840,4.707800,383.5600,0.6457,0.1753
40,"POLYGON ((108.0 -85.0, 126.0 -85.0, 126.0 -83.0, 108.0 -83.0, 108.0 -85.0))",7.515200,27.984000,42.835000,17.356000,0.061647,4.877900,307.7400,0.7837,0.2130
41,"POLYGON ((126.0 -85.0, 144.0 -85.0, 144.0 -83.0, 126.0 -83.0, 126.0 -85.0))",4.821400,28.540000,42.099000,17.636000,0.063375,5.281700,570.7600,0.9566,0.2601
42,"POLYGON ((144.0 -85.0, 162.0 -85.0, 162.0 -83.0, 144.0 -83.0, 144.0 -85.0))",8.798100,27.040000,43.644000,15.859000,0.076014,5.295300,411.7100,0.9472,0.2576
43,"POLYGON ((162.0 -85.0, 180.0 -85.0, 180.0 -83.0, 162.0 -83.0, 162.0 -85.0))",8.419300,26.262000,43.615000,16.102000,0.253680,5.944100,347.9900,0.9196,0.2500
44,"POLYGON ((-180.0 -83.0, -168.0 -83.0, -168.0 -81.0, -180.0 -81.0, -180.0 -83.0))",7.505500,17.619000,47.452000,18.578000,0.363390,7.658700,604.1400,1.0985,0.2989
45,"POLYGON ((-168.0 -83.0, -156.0 -83.0, -156.0 -81.0, -168.0 -81.0, -168.0 -83.0))",7.015800,20.708000,45.934000,16.378000,0.685520,7.105800,565.0900,0.9714,0.2642
46,"POLYGON ((-156.0 -83.0, -144.0 -83.0, -144.0 -81.0, -156.0 -81.0, -156.0 -83.0))",8.730100,26.469000,43.311000,14.926000,0.143550,6.721300,488.4600,1.1289,0.3072
47,"POLYGON ((-144.0 -83.0, -132.0 -83.0, -132.0 -81.0, -144.0 -81.0, -144.0 -83.0))",8.747700,18.778000,49.621000,16.526000,0.000126,7.056200,534.6700,1.0918,0.2971
48,"POLYGON ((-132.0 -83.0, -120.0 -83.0, -120.0 -81.0, -132.0 -81.0, -132.0 -83.0))",9.088200,25.429000,43.415000,14.804000,0.100830,5.870000,389.8200,1.0001,0.2720
49,"POLYGON ((-120.0 -83.0, -108.0 -83.0, -108.0 -81.0, -120.0 -81.0, -120.0 -83.0))",5.507700,27.757000,43.597000,16.134000,0.134420,5.238300,503.9400,0.8460,0.2300
