id,WKT,mgo,al2o3,sio2,cao,tio2,feo,potassium,thorium,uranium
50,"POLYGON ((-108.0 -83.0, -96.0 -83.0, -96.0 -81.0, -108.0 -81.0, -108.0 -83.0))",8.591300,26.277000,44.532000,14.303000,0.022733,4.730000,361.2000,1.0141,0.2758
51,"POLYGON ((-96.0 -83.0, -84.0 -83.0, -84.0 -81.0, -96.0 -81.0, -96.0 -83.0))",6.441700,27.121000,44.732000,15.589000,0.030785,5.041700,501.9800,0.6928,0.1881
52,"POLYGON ((-84.0 -83.0, -72.0 -83.0, -72.0 -81.0, -84.0 -81.0, -84.0 -83.0))",4.668800,23.857000,48.314000,15.172000,0.394730,4.610700,593.6200,0.6519,0.1770
53,"POLYGON ((-72.0 -83.0, -60.0 -83.0, -60.0 -81.0, -72.0 -81.0, -72.0 -83.0))",6.856900,24.192000,46.764000,15.897000,0.074385,4.648900,449.2100,0.8031,0.2182
54,"POLYGON ((-60.0 -83.0, -48.0 -83.0, -48.0 -81.0, -60.0 -81.0, -60.0 -83.0))",4.275700,27.109000,45.713000,15.560000,0.275880,5.027200,551.4200,0.6375,0.1730
55,"POLYGON ((-48.0 -83.0, -36.0 -83.0, -36.0 -81.0, -48.0 -81.0, -48.0 -83.0))",6.495100,26.869000,44.092000,16.282000,0.092419,4.857100,540.0500,0.8788,0.2389
56,"POLYGON ((-36.0 -83.0, -24.0 -83.0, -24.0 -81.0, -36.0 -81.0, -36.0 -83.0))",4.269400,24.731000,46.209000,18.048000,0.000000,5.215300,515.6000,0.8090,0.2198
57,"POLYGON ((-24.0 -83.0, -12.0 -83.0, -12.0 -81.0, -24.0 -81.0, -24.0 -83.0))",4.582800,26.143000,45.344000,16.642000,0.000000,4.854800,508.2300,0.8371,0.2275
58,"POLYGON ((-12.0 -83.0, 0.0 -83.0, 0.0 -81.0, -12.0 -81.0, -12.0 -83.0))",10.712000,23.577000,43.700000,16.101000,0.000000,4.926200,318.7500,0.7421,0.2016
59,"POLYGON ((0.0 -83.0, 12.0 -83.0, 12.0 -81.0, 0.0 -81.0, 0.0 -83.0))",2.787700,30.899000,43.810000,15.235000,0.411870,4.591500,369.6600,0.5952,0.1615
60,"POLYGON ((12.0 -83.0, 24.0 -83.0, 24.0 -81.0, 12.0 -81.0, 12.0 -83.0))",7.096200,26.881000,44.633000,15.801000,0.000000,4.591200,268.8800,0.6408,0.1739
61,"POLYGON ((24.0 -83.0, 36.0 -83.0, 36.0 -81.0, 24.0 -81.0, 24.0 -83.0))",9.410600,27.869000,43.236000,13.581000,0.435710,3.727400,287.1000,0.3547,0.0958
62,"POLYGON ((36.0 -83.0, 48.0 -83.0, 48.0 -81.0, 36.0 -81.0, 36.0 -83.0))",6.791400,25.435000,43.440000,15.402000,0.329340,4.505000,248.7500,0.6818,0.1851
63,"POLYGON ((48.0 -83.0, 60.0 -83.0, 60.0 -81.0, 48.0 -81.0, 48.0 -83.0))",7.536000,28.496000,44.459000,13.103000,0.034941,3.782300,312.0900,0.6591,0.1789
64,"POLYGON ((60.0 -83.0, 72.0 -83.0, 72.0 -81.0, 60.0 -81.0, 60.0 -83.0))",4.537800,23.910000,46.344000,16.543000,0.372760,4.924900,388.3400,0.8225,0.2235
65,"POLYGON ((72.0 -83.0, 84.0 -83.0, 84.0 -81.0, 72.0 -81.0, 72.0 -83.0))",7.465600,24.945000,45.989000,16.220000,0.214080,4.814200,243.9900,0.6376,0.1731
66,"POLYGON ((84.0 -83.0, 96.0 -83.0, 96.0 -81.0, 84.0 -81.0, 84.0 -83.0))",7.458400,25.628000,44.402000,15.757000,0.233420,4.702400,267.3900,0.7640,0.2076
67,"POLYGON ((96.0 -83.0, 108.0 -83.0, 108.0 -81.0, 96.0 -81.0, 96.0 -83.0))",8.728600,25.497000,45.222000,14.681000,0.198530,4.758200,379.0000,0.7656,0.2080
68,"POLYGON ((108.0 -83.0, 120.0 -83.0, 120.0 -81.0, 108.0 -81.0, 108.0 -83.0))",7.837500,25.288000,41.327000,18.784000,0.264560,4.852600,282.0700,0.8566,0.2329
69,"POLYGON ((120.0 -83.0, 132.0 -83.0, 132.0 -81.0, 120.0 -81.0, 120.0 -83.0))",8.540300,26.726000,42.557000,18.389000,0.000000,5.062400,372.0000,0.9897,0.2692
70,"POLYGON ((132.0 -83.0, 144.0 -83.0, 144.0 -81.0, 132.0 -81.0, 132.0 -83.0))",11.008000,27.376000,41.678000,15.602000,0.296370,4.225400,303.7600,0.8171,0.2221
71,"POLYGON ((144.0 -83.0, 156.0 -83.0, 156.0 -81.0, 144.0 -81.0, 144.0 -83.0))",6.272000,23.643000,45.174000,18.826000,0.232090,6.079300,483.4700,0.9405,0.2557
72,"POLYGON ((156.0 -83.0, 168.0 -83.0, 168.0 -81.0, 156.0 -81.0, 156.0 -83.0))",8.242500,27.108000,44.577000,16.080000,0.000000,5.917900,354.2200,1.0816,0.2943
73,"POLYGON ((168.0 -83.0, 180.0 -83.0, 180.0 -81.0, 168.0 -81.0, 168.0 -83.0))",10.043000,23.802000,41.617000,16.131000,0.363570,6.527800,413.9600,1.1013,0.2997
74,"POLYGON ((-180.0 -81.0, -170.0 -81.0, -170.0 -79.0, -180.0 -79.0, -180.0 -81.0))",4.409900,26.892000,44.363000,12.715000,0.969480,7.361600,554.7600,1.2812,0.3488
75,"POLYGON ((-170.0 -81.0, -160.0 -81.0, -160.0 -79.0, -170.0 -79.0, -170.0 -81.0))",7.031500,18.552000,48.405000,13.843000,0.162260,8.880400,687.1500,1.1670,0.3176
76,"POLYGON ((-160.0 -81.0, -150.0 -81.0, -150.0 -79.0, -160.0 -79.0, -160.0 -81.0))",10.170000,19.158000,47.183000,14.239000,0.062674,8.178100,547.9800,1.1530,0.3138
77,"POLYGON ((-150.0 -81.0, -140.0 -81.0, -140.0 -79.0, -150.0 -79.0, -150.0 -81.0))",7.456800,26.470000,40.425000,15.845000,0.000000,8.181700,648.7200,1.2967,0.3530
78,"POLYGON ((-140.0 -81.0, -130.0 -81.0, -130.0 -79.0, -140.0 -79.0, -140.0 -81.0))",7.614000,16.318000,47.171000,20.169000,0.000000,7.703300,590.1600,1.3058,0.3555
79,"POLYGON ((-130.0 -81.0, -120.0 -81.0, -120.0 -79.0, -130.0 -79.0, -130.0 -81.0))",5.213500,26.149000,44.851000,14.934000,0.215680,6.879800,687.0900,1.2002,0.3266
80,"POLYGON ((-120.0 -81.0, -110.0 -81.0, -110.0 -79.0, -120.0 -79.0, -120.0 -81.0))",10.336000,23.781000,44.078000,14.461000,0.092056,5.043900,380.0200,0.8811,0.2395
81,"POLYGON ((-110.0 -81.0, -100.0 -81.0, -100.0 -79.0, -110.0 -79.0, -110.0 -81.0))",7.067700,21.062000,45.755000,17.758000,0.045363,5.776800,379.3900,0.8862,0.2409
82,"POLYGON ((-100.0 -81.0, -90.0 -81.0, -90.0 -79.0, -100.0 -79.0, -100.0 -81.0))",6.557500,21.797000,47.286000,15.978000,0.000000,5.400000,423.4100,0.7977,0.2168
83,"POLYGON ((-90.0 -81.0, -80.0 -81.0, -80.0 -79.0, -90.0 -79.0, -90.0 -81.0))",6.353200,24.298000,46.564000,15.271000,0.059584,4.391900,458.7700,0.6580,0.1786
84,"POLYGON ((-80.0 -81.0, -70.0 -81.0, -70.0 -79.0, -80.0 -79.0, -80.0 -81.0))",6.153600,27.095000,46.101000,13.772000,0.488280,4.238600,360.5000,0.8256,0.2244
85,"POLYGON ((-70.0 -81.0, -60.0 -81.0, -60.0 -79.0, -70.0 -79.0, -70.0 -81.0))",5.880500,28.250000,45.316000,14.634000,0.258930,4.953100,539.5400,0.5417,0.1469
86,"POLYGON ((-60.0 -81.0, -50.0 -81.0, -50.0 -79.0, -60.0 -79.0, -60.0 -81.0))",5.819800,26.498000,44.777000,15.173000,0.000000,5.305100,442.7000,0.7484,0.2033
87,"POLYGON ((-50.0 -81.0, -40.0 -81.0, -40.0 -79.0, -50.0 -79.0, -50.0 -81.0))",4.849000,27.557000,43.268000,15.364000,0.543120,5.403300,535.3100,0.8721,0.2371
88,"POLYGON ((-40.0 -81.0, -30.0 -81.0, -30.0 -79.0, -40.0 -79.0, -40.0 -81.0))",6.522500,28.005000,44.838000,15.165000,0.000000,4.529300,438.6200,0.9985,0.2716
89,"POLYGON ((-30.0 -81.0, -20.0 -81.0, -20.0 -79.0, -30.0 -79.0, -30.0 -81.0))",8.485700,26.450000,45.420000,14.250000,0.000000,3.875400,222.9400,0.7932,0.2155
90,"POLYGON ((-20.0 -81.0, -10.0 -81.0, -10.0 -79.0, -20.0 -79.0, -20.0 -81.0))",9.661800,24.217000,45.269000,12.432000,0.050711,4.799900,235.4700,0.9349,0.2542
91,"POLYGON ((-10.0 -81.0, 0.0 -81.0, 0.0 -79.0, -10.0 -79.0, -10.0 -81.0))",7.909800,32.133000,42.316000,12.630000,0.408720,3.610300,228.4900,0.4759,0.1289
92,"POLYGON ((0.0 -81.0, 10.0 -81.0, 10.0 -79.0, 0.0 -79.0, 0.0 -81.0))",6.185700,33.314000,43.475000,11.303000,0.113100,3.980000,376.4800,0.4721,0.1279
93,"POLYGON ((10.0 -81.0, 20.0 -81.0, 20.0 -79.0, 10.0 -79.0, 10.0 -81.0))",5.066000,26.848000,42.805000,16.664000,0.000000,4.791900,423.9300,0.4006,0.1084
94,"POLYGON ((20.0 -81.0, 30.0 -81.0, 30.0 -79.0, 20.0 -79.0, 20.0 -81.0))",4.957500,28.424000,45.341000,13.158000,0.282340,4.526900,268.9900,0.5929,0.1609
95,"POLYGON ((30.0 -81.0, 40.0 -81.0, 40.0 -79.0, 30.0 -79.0, 30.0 -81.0))",3.591100,29.114000,41.493000,15.849000,0.410370,4.911000,465.5100,0.5373,0.1457
96,"POLYGON ((40.0 -81.0, 50.0 -81.0, 50.0 -79.0, 40.0 -79.0, 40.0 -81.0))",8.054000,20.863000,45.151000,17.137000,0.000000,5.259500,176.1700,0.6205,0.1684
97,"POLYGON ((50.0 -81.0, 60.0 -81.0, 60.0 -79.0, 50.0 -79.0, 50.0 -81.0))",6.848700,26.453000,44.871000,14.014000,0.312230,4.498300,358.3900,0.5327,0.1444
98,"POLYGON ((60.0 -81.0, 70.0 -81.0, 70.0 -79.0, 60.0 -79.0, 60.0 -81.0))",7.846400,28.685000,42.486000,14.301000,0.088506,3.778400,243.3000,0.6485,0.1761
99,"POLYGON ((70.0 -81.0, 80.0 -81.0, 80.0 -79.0, 70.0 -79.0, 70.0 -81.0))",2.248600,27.826000,43.342000,18.780000,0.332260,4.595000,338.8800,0.5452,0.1478
100,"POLYGON ((80.0 -81.0, 90.0 -81.0, 90.0 -79.0, 80.0 -79.0, 80.0 -81.0))",5.030900,25.581000,45.531000,16.226000,0.613160,5.253400,301.1500,0.7336,0.1993
101,"POLYGON ((90.0 -81.0, 100.0 -81.0, 100.0 -79.0, 90.0 -79.0, 90.0 -81.0))",7.758300,29.961000,41.832000,15.398000,0.041972,4.397800,477.2800,0.4435,0.1201
102,"POLYGON ((100.0 -81.0, 110.0 -81.0, 110.0 -79.0, 100.0 -79.0, 100.0 -81.0))",10.326000,19.532000,47.614000,18.224000,0.070038,5.279700,306.5900,0.5834,0.1583
103,"POLYGON ((110.0 -81.0, 120.0 -81.0, 120.0 -79.0, 110.0 -79.0, 110.0 -81.0))",7.038700,27.243000,44.391000,15.083000,0.000000,4.916700,444.7900,0.8646,0.2350
104,"POLYGON ((120.0 -81.0, 130.0 -81.0, 130.0 -79.0, 120.0 -79.0, 120.0 -81.0))",7.719600,23.788000,44.539000,18.863000,0.000000,5.234300,323.9500,0.7317,0.1988
105,"POLYGON ((130.0 -81.0, 140.0 -81.0, 140.0 -79.0, 130.0 -79.0, 130.0 -81.0))",9.392700,21.328000,46.183000,17.909000,0.268800,5.410000,496.9000,0.8993,0.2445
106,"POLYGON ((140.0 -81.0, 150.0 -81.0, 150.0 -79.0, 140.0 -79.0, 140.0 -81.0))",9.382200,23.018000,45.543000,17.256000,0.095294,5.521000,473.4100,0.8546,0.2323
107,"POLYGON ((150.0 -81.0, 160.0 -81.0, 160.0 -79.0, 150.0 -79.0, 150.0 -81.0))",8.045400,30.991000,46.999000,11.730000,0.000000,5.430000,734.8800,0.9155,0.2489
108,"POLYGON ((160.0 -81.0, 170.0 -81.0, 170.0 -79.0, 160.0 -79.0, 160.0 -81.0))",5.826900,26.370000,41.584000,19.046000,0.619560,6.438100,442.6300,1.0465,0.2847
109,"POLYGON ((170.0 -81.0, 180.0 -81.0, 180.0 -79.0, 170.0 -79.0, 170.0 -81.0))",8.071600,27.416000,44.357000,13.639000,0.000000,7.298200,632.7000,1.1720,0.3190
110,"POLYGON ((-180.0 -79.0, -171.0 -79.0, -171.0 -77.0, -180.0 -77.0, -180.0 -79.0))",8.070500,18.865000,45.967000,16.271000,0.509890,8.694700,654.0700,1.4007,0.3814
111,"POLYGON ((-171.0 -79.0, -162.0 -79.0, -162.0 -77.0, -171.0 -77.0, -171.0 -79.0))",8.644700,23.848000,40.619000,14.228000,0.812430,8.143400,649.8600,1.4556,0.3964
112,"POLYGON ((-162.0 -79.0, -153.0 -79.0, -153.0 -77.0, -162.0 -77.0, -162.0 -79.0))",7.258300,16.069000,42.713000,18.495000,1.151900,10.027000,570.4000,1.3667,0.3721
113,"POLYGON ((-153.0 -79.0, -144.0 -79.0, -144.0 -77.0, -153.0 -77.0, -153.0 -79.0))",9.089800,27.966000,42.171000,14.051000,0.000000,6.434900,574.7200,1.3232,0.3602
114,"POLYGON ((-144.0 -79.0, -135.0 -79.0, -135.0 -77.0, -144.0 -77.0, -144.0 -79.0))",9.902100,25.618000,43.073000,15.425000,0.000000,6.289500,610.2200,1.2562,0.3419
115,"POLYGON ((-135.0 -79.0, -126.0 -79.0, -126.0 -77.0, -135.0 -77.0, -135.0 -79.0))",10.177000,21.507000,42.104000,17.533000,0.209940,6.274800,498.8800,1.3620,0.3708
116,"POLYGON ((-126.0 -79.0, -117.0 -79.0, -117.0 -77.0, -126.0 -77.0, -126.0 -79.0))",8.614000,26.070000,45.130000,14.000000,0.111100,5.609800,500.2100,0.9754,0.2653
117,"POLYGON ((-117.0 -79.0, -108.0 -79.0, -108.0 -77.0, -117.0 -77.0, -117.0 -79.0))",7.182200,23.319000,45.229000,15.917000,0.000000,6.629800,603.9700,0.9835,0.2675
118,"POLYGON ((-108.0 -79.0, -99.0 -79.0, -99.0 -77.0, -108.0 -77.0, -108.0 -79.0))",7.835700,23.882000,45.668000,16.027000,0.225740,5.289000,357.3400,0.8992,0.2445
119,"POLYGON ((-99.0 -79.0, -90.0 -79.0, -90.0 -77.0, -99.0 -77.0, -99.0 -79.0))",5.263000,27.452000,44.222000,17.083000,0.067304,5.189100,388.8300,0.7970,0.2166
120,"POLYGON ((-90.0 -79.0, -81.0 -79.0, -81.0 -77.0, -90.0 -77.0, -90.0 -79.0))",6.480600,32.299000,40.667000,13.291000,0.234880,4.374700,415.9400,0.6094,0.1654
121,"POLYGON ((-81.0 -79.0, -72.0 -79.0, -72.0 -77.0, -81.0 -77.0, -81.0 -79.0))",7.236000,22.461000,47.762000,15.371000,0.198220,5.299900,344.5700,0.7220,0.1961
122,"POLYGON ((-72.0 -79.0, -63.0 -79.0, -63.0 -77.0, -72.0 -77.0, -72.0 -79.0))",3.711800,23.915000,47.065000,17.776000,0.524510,4.948500,410.1200,0.7871,0.2139
123,"POLYGON ((-63.0 -79.0, -54.0 -79.0, -54.0 -77.0, -63.0 -77.0, -63.0 -79.0))",6.942000,26.951000,45.311000,12.949000,0.406160,4.683900,380.2100,0.7944,0.2159
124,"POLYGON ((-54.0 -79.0, -45.0 -79.0, -45.0 -77.0, -54.0 -77.0, -54.0 -79.0))",6.287800,20.312000,49.121000,16.422000,0.495420,4.827500,317.0000,0.8137,0.2211
125,"POLYGON ((-45.0 -79.0, -36.0 -79.0, -36.0 -77.0, -45.0 -77.0, -45.0 -79.0))",8.657600,29.622000,43.340000,13.366000,0.090592,4.356800,357.9100,0.6642,0.1803
126,"POLYGON ((-36.0 -79.0, -27.0 -79.0, -27.0 -77.0, -36.0 -77.0, -36.0 -79.0))",5.474900,28.768000,46.540000,14.155000,0.000000,4.610100,449.7700,0.7494,0.2036
127,"POLYGON ((-27.0 -79.0, -18.0 -79.0, -18.0 -77.0, -27.0 -77.0, -27.0 -79.0))",4.914800,29.243000,40.809000,16.264000,0.348770,3.948200,441.2000,0.6470,0.1756
128,"POLYGON ((-18.0 -79.0, -9.0 -79.0, -9.0 -77.0, -18.0 -77.0, -18.0 -79.0))",6.848200,29.913000,42.650000,15.230000,0.000000,3.602800,321.8500,0.6300,0.1710
129,"POLYGON ((-9.0 -79.0, 0.0 -79.0, 0.0 -77.0, -9.0 -77.0, -9.0 -79.0))",4.485300,29.383000,42.362000,16.292000,0.355290,4.309100,224.4900,0.5651,0.1533
130,"POLYGON ((0.0 -79.0, 9.0 -79.0, 9.0 -77.0, 0.0 -77.0, 0.0 -79.0))",6.115100,30.264000,41.948000,15.025000,0.482230,3.427100,315.0500,0.1335,0.0354
