# 
# This is data from Figure 6, Lawrence et al., 2022, submitted.
#        MAPLON        MAPLAT          HMAP
     -92.75000     -89.75000      91.25488
     -92.25000     -89.75000      91.28723
     -91.75000     -89.75000      91.35254
     -91.25000     -89.75000      91.38513
     -90.75000     -89.75000      91.45178
     -90.25000     -89.75000      91.48553
     -89.75000     -89.75000      91.55206
     -89.25000     -89.75000      91.58600
     -88.75000     -89.75000      91.61987
     -88.25000     -89.75000      91.68774
     -87.75000     -89.75000      91.72290
     -87.25000     -89.75000      91.79083
     -86.75000     -89.75000      91.82599
     -86.25000     -89.75000      91.85992
     -85.75000     -89.75000      91.93030
     -85.25000     -89.75000      91.96417
     -84.75000     -89.75000      92.03473
     -84.25000     -89.75000      92.07007
     -83.75000     -89.75000      92.14044
     -83.25000     -89.75000      92.17572
     -82.75000     -89.75000      92.21216
     -82.25000     -89.75000      92.28271
     -81.75000     -89.75000      92.31927
     -81.25000     -89.75000      92.38977
     -80.75000     -89.75000      92.42633
     -80.25000     -89.75000      92.49817
     -79.75000     -89.75000      92.53461
     -79.25000     -89.75000      92.56995
     -78.75000     -89.75000      92.64307
     -78.25000     -89.75000      92.67822
     -77.75000     -89.75000      92.75140
     -77.25000     -89.75000      92.78662
     -76.75000     -89.75000      92.82324
     -76.25000     -89.75000      92.89636
     -75.75000     -89.75000      92.93286
     -75.25000     -89.75000      93.00476
     -74.75000     -89.75000      93.04126
     -74.25000     -89.75000      93.11450
     -73.75000     -89.75000      93.14972
     -73.25000     -89.75000      93.18634
     -72.75000     -89.75000      93.25946
     -72.25000     -89.75000      93.29480
     -71.75000     -89.75000      93.36792
     -71.25000     -89.75000      93.40448
     -70.75000     -89.75000      93.47638
     -70.25000     -89.75000      93.51166
     -69.75000     -89.75000      93.54822
     -69.25000     -89.75000      93.62006
     -68.75000     -89.75000      93.65546
     -68.25000     -89.75000      93.72729
     -67.75000     -89.75000      93.76251
     -67.25000     -89.75000      93.79913
     -66.75000     -89.75000      93.86975
     -66.25000     -89.75000      93.90503
     -65.75000     -89.75000      93.97565
     -65.25000     -89.75000      94.01093
     -64.75000     -89.75000      94.08148
     -64.25000     -89.75000      94.11548
     -63.75000     -89.75000      94.15082
     -63.25000     -89.75000      94.22009
     -62.75000     -89.75000      94.25415
     -62.25000     -89.75000      94.32343
     -61.75000     -89.75000      94.35742
     -61.25000     -89.75000      94.42535
     -60.75000     -89.75000      94.45929
     -60.25000     -89.75000      94.49194
     -59.75000     -89.75000      94.56000
     -59.25000     -89.75000      94.59271
     -58.75000     -89.75000      94.65942
     -58.25000     -89.75000      94.69214
     -57.75000     -89.75000      94.75751
     -57.25000     -89.75000      94.78900
     -56.75000     -89.75000      94.82166
     -56.25000     -89.75000      94.88580
     -55.75000     -89.75000      94.91718
     -55.25000     -89.75000      94.98132
     -54.75000     -89.75000      95.01141
     -54.25000     -89.75000      95.04285
     -53.75000     -89.75000      95.10425
     -53.25000     -89.75000      95.13568
     -52.75000     -89.75000      95.19592
     -52.25000     -89.75000      95.22607
     -51.75000     -89.75000      95.28491
     -51.25000     -89.75000      95.31506
     -50.75000     -89.75000      95.34387
     -50.25000     -89.75000      95.40149
     -49.75000     -89.75000      95.43036
     -49.25000     -89.75000      95.48663
     -48.75000     -89.75000      95.51550
     -48.25000     -89.75000      95.57050
     -47.75000     -89.75000      95.59802
     -47.25000     -89.75000      95.62555
     -46.75000     -89.75000      95.67926
     -46.25000     -89.75000      95.70551
     -45.75000     -89.75000      95.75787
     -45.25000     -89.75000      95.78278
     -44.75000     -89.75000      95.80902
     -44.25000     -89.75000      95.85876
     -43.75000     -89.75000      95.88379
     -43.25000     -89.75000      95.93219
     -42.75000     -89.75000      95.95593
     -42.25000     -89.75000      96.00311
     -41.75000     -89.75000      96.02679
     -41.25000     -89.75000      96.05023
     -40.75000     -89.75000      96.09491
     -40.25000     -89.75000      96.11725
     -39.75000     -89.75000      96.16052
     -39.25000     -89.75000      96.18280
     -38.75000     -89.75000      96.22485
     -38.25000     -89.75000      96.24457
     -37.75000     -89.75000      96.26562
     -37.25000     -89.75000      96.30493
     -36.75000     -89.75000      96.32471
     -36.25000     -89.75000      96.36273
     -35.75000     -89.75000      96.38116
     -35.25000     -89.75000      96.41663
     -34.75000     -89.75000      96.43500
     -34.25000     -89.75000      96.45215
     -33.75000     -89.75000      96.48633
     -33.25000     -89.75000      96.50220
     -32.75000     -89.75000      96.53497
     -32.25000     -89.75000      96.55084
     -31.75000     -89.75000      96.56537
     -31.25000     -89.75000      96.59564
     -30.75000     -89.75000      96.61017
     -30.25000     -89.75000      96.63776
     -29.75000     -89.75000      96.65106
     -29.25000     -89.75000      96.67603
     -28.75000     -89.75000      96.68927
     -28.25000     -89.75000      96.70129
     -27.75000     -89.75000      96.72485
     -27.25000     -89.75000      96.73560
     -26.75000     -89.75000      96.75671
     -26.25000     -89.75000      96.76727
     -25.75000     -89.75000      96.78711
     -25.25000     -89.75000      96.79517
     -24.75000     -89.75000      96.80444
     -24.25000     -89.75000      96.82166
     -23.75000     -89.75000      96.82971
     -23.25000     -89.75000      96.84430
     -22.75000     -89.75000      96.85114
     -22.25000     -89.75000      96.85779
     -21.75000     -89.75000      96.86975
     -21.25000     -89.75000      96.87518
     -20.75000     -89.75000      96.88470
     -20.25000     -89.75000      96.88879
     -19.75000     -89.75000      96.89673
     -19.25000     -89.75000      96.90088
     -18.75000     -89.75000      96.90387
     -18.25000     -89.75000      96.90918
     -17.75000     -89.75000      96.91077
     -17.25000     -89.75000      96.91364
     -16.75000     -89.75000      96.91516
     -16.25000     -89.75000      96.91541
     -15.75000     -89.75000      96.91565
     -15.25000     -89.75000      96.91589
     -14.75000     -89.75000      96.91345
     -14.25000     -89.75000      96.91241
     -13.75000     -89.75000      96.90869
     -13.25000     -89.75000      96.90631
     -12.75000     -89.75000      96.90002
     -12.25000     -89.75000      96.89636
     -11.75000     -89.75000      96.89270
     -11.25000     -89.75000      96.88373
     -10.75000     -89.75000      96.87872
     -10.25000     -89.75000      96.86731
     -9.750000     -89.75000      96.86090
     -9.250000     -89.75000      96.85461
     -8.750000     -89.75000      96.84058
     -8.250000     -89.75000      96.83429
     -7.750000     -89.75000      96.81763
     -7.250000     -89.75000      96.80865
     -6.750000     -89.75000      96.79065
     -6.250000     -89.75000      96.78186
     -5.750000     -89.75000      96.77167
     -5.250000     -89.75000      96.75104
     -4.750000     -89.75000      96.73956
     -4.250000     -89.75000      96.71759
     -3.750000     -89.75000      96.70477
     -3.250000     -89.75000      96.68030
     -2.750000     -89.75000      96.66742
     -2.250000     -89.75000      96.65338
     -1.750000     -89.75000      96.62628
     -1.250000     -89.75000      96.61078
    -0.7500000     -89.75000      96.58093
    -0.2500000     -89.75000      96.56567
     0.2500000     -89.75000      96.55023
     0.7500000     -89.75000      96.51788
      1.250000     -89.75000      96.50116
      1.750000     -89.75000      96.46613
      2.250000     -89.75000      96.44818
      2.750000     -89.75000      96.41187
      3.250000     -89.75000      96.39258
      3.750000     -89.75000      96.37335
      4.250000     -89.75000      96.33441
      4.750000     -89.75000      96.31378
      5.250000     -89.75000      96.27234
      5.750000     -89.75000      96.25165
      6.250000     -89.75000      96.20886
      6.750000     -89.75000      96.18567
      7.250000     -89.75000      96.16370
      7.750000     -89.75000      96.11829
      8.250000     -89.75000      96.09509
      8.750000     -89.75000      96.04706
      9.250000     -89.75000      96.02246
      9.750000     -89.75000      95.97327
      10.25000     -89.75000      95.94739
      10.75000     -89.75000      95.92291
      11.25000     -89.75000      95.87097
      11.75000     -89.75000      95.84369
      12.25000     -89.75000      95.79053
      12.75000     -89.75000      95.76343
      13.25000     -89.75000      95.73499
      13.75000     -89.75000      95.67914
      14.25000     -89.75000      95.65063
      14.75000     -89.75000      95.59216
      15.25000     -89.75000      95.56378
      15.75000     -89.75000      95.50391
      16.25000     -89.75000      95.47418
      16.75000     -89.75000      95.44324
      17.25000     -89.75000      95.38208
      17.75000     -89.75000      95.35107
      18.25000     -89.75000      95.28735
      18.75000     -89.75000      95.25500
      19.25000     -89.75000      95.18994
      19.75000     -89.75000      95.15765
      20.25000     -89.75000      95.12524
      20.75000     -89.75000      95.05768
      21.25000     -89.75000      95.02399
      21.75000     -89.75000      94.95642
      22.25000     -89.75000      94.92139
      22.75000     -89.75000      94.88654
      23.25000     -89.75000      94.81622
      23.75000     -89.75000      94.78137
      24.25000     -89.75000      94.70978
      24.75000     -89.75000      94.67346
      25.25000     -89.75000      94.60199
      25.75000     -89.75000      94.56439
      26.25000     -89.75000      94.52820
      26.75000     -89.75000      94.45398
      27.25000     -89.75000      94.41644
      27.75000     -89.75000      94.34100
      28.25000     -89.75000      94.30347
      28.75000     -89.75000      94.22662
      29.25000     -89.75000      94.18768
      29.75000     -89.75000      94.14893
      30.25000     -89.75000      94.07208
      30.75000     -89.75000      94.03186
