         0  -90.0  -80.0 -180.0  180.0    2.1690e+001    1.5110e-006    7.6125e-002    2.7394e-001    4.4900e-001    1.6137e-001    1.2562e-003    5.1815e-002    4.2718e+002    7.9407e-001    2.1578e-001    1.6085e-006    0.0000e+000    0.0000e+000   -4.5941e-007    0.0000e+000    0.0000e+000   -5.3954e-003    3.5714e-008   -6.5936e-007    3.9236e-006    0.0000e+000   -1.2427e-006    0.0000e+000   -3.6038e-007    9.8139e-004   -3.3256e-006    9.9785e-007    2.9494e-006   -1.1325e-007   -8.9277e-008    2.8653e-008    3.6694e-003    3.5858e-006   -5.3448e-006    1.3935e-006    0.0000e+000    0.0000e+000    5.8501e-004   -1.1972e-006    1.6118e-006    3.4855e-008    6.6466e-009   -8.0459e-005    4.6853e-008    3.8242e-007    1.2830e-007    7.5009e-005    1.6330e-007    4.8687e-007    5.9638e+001    0.0000e+000    0.0000e+000    8.0592e-005   -1.1773e-005    4.6219e-005
         1  -80.0  -60.0 -180.0 -135.0    2.1917e+001    1.2190e-006    8.8363e-002    2.2232e-001    4.5014e-001    1.5223e-001    4.5528e-003    8.2160e-002    8.0550e+002    1.8242e+000    4.9702e-001    6.8781e-006    0.0000e+000    0.0000e+000   -2.0510e-006    0.0000e+000    0.0000e+000   -2.2954e-002    6.7586e-007   -2.8447e-006    1.6886e-005    0.0000e+000   -5.6308e-006    0.0000e+000   -1.7231e-006    3.8646e-003   -1.3265e-005    5.5956e-006    1.2446e-005   -3.2279e-007   -4.7426e-007    4.0627e-008    1.5900e-002    1.5302e-005   -2.4016e-005    6.2130e-006    0.0000e+000    0.0000e+000    2.6409e-003   -5.8804e-006    6.1898e-006    2.3246e-007    5.8356e-008   -4.2271e-004    1.1504e-007    2.1335e-006    7.8567e-007    4.9901e-004    4.2946e-007    2.3669e-006    2.5375e+002    0.0000e+000    0.0000e+000    3.4785e-004   -5.5362e-005    1.9960e-004
         2  -80.0  -60.0 -135.0  -90.0    2.1877e+001    1.4485e-006    7.3996e-002    2.5775e-001    4.4824e-001    1.5550e-001    1.3515e-003    5.5366e-002    4.4376e+002    1.0176e+000    2.7680e-001    6.2426e-006    0.0000e+000    0.0000e+000   -1.8194e-006    0.0000e+000    0.0000e+000   -2.0901e-002    2.1803e-007   -2.6696e-006    1.5310e-005    0.0000e+000   -4.9314e-006    0.0000e+000   -1.4372e-006    3.7388e-003   -1.2712e-005    4.1052e-006    1.1416e-005   -3.8623e-007   -3.6477e-007    1.0600e-007    1.4175e-002    1.3967e-005   -2.1009e-005    5.5032e-006    0.0000e+000    0.0000e+000    2.3252e-003   -4.8838e-006    6.1921e-006    1.4900e-007    3.0024e-008   -3.2196e-004    1.6913e-007    1.5904e-006    5.3811e-007    3.4589e-004    5.9323e-007    1.9463e-006    2.3093e+002    0.0000e+000    0.0000e+000    3.1626e-004   -4.7170e-005    1.8278e-004
         3  -80.0  -60.0  -90.0  -45.0    2.1692e+001    1.5540e-006    6.3503e-002    2.7253e-001    4.5109e-001    1.5816e-001    2.4823e-003    4.4953e-002    2.5253e+002    4.8212e-001    1.3062e-001    5.9512e-006    0.0000e+000    0.0000e+000   -1.7012e-006    0.0000e+000    0.0000e+000   -1.9817e-002    2.9967e-008   -2.5387e-006    1.4521e-005    0.0000e+000   -4.5810e-006    0.0000e+000   -1.3168e-006    3.6565e-003   -1.2266e-005    3.4071e-006    1.0892e-005   -4.0419e-007   -3.2318e-007    1.2767e-007    1.3297e-002    1.3212e-005   -1.9466e-005    5.1358e-006    0.0000e+000    0.0000e+000    2.1499e-003   -4.4110e-006    6.0471e-006    1.2274e-007    2.1523e-008   -2.8355e-004    1.7841e-007    1.3784e-006    4.5168e-007    2.8457e-004    6.3126e-007    1.7587e-006    2.1756e+002    0.0000e+000    0.0000e+000    2.9693e-004   -4.2754e-005    1.7248e-004
         4  -80.0  -60.0  -45.0    0.0    2.1661e+001    1.5517e-006    6.6060e-002    2.8220e-001    4.4403e-001    1.6435e-001    1.3358e-003    4.4840e-002    2.4079e+002    5.5625e-001    1.5086e-001    6.6052e-006    0.0000e+000    0.0000e+000   -1.8870e-006    0.0000e+000    0.0000e+000   -2.1972e-002    4.3699e-008   -2.8076e-006    1.6120e-005    0.0000e+000   -5.0810e-006    0.0000e+000   -1.4625e-006    4.0523e-003   -1.3607e-005    3.8001e-006    1.2082e-005   -4.4265e-007   -3.5785e-007    1.4075e-007    1.4728e-002    1.4656e-005   -2.1555e-005    5.6909e-006    0.0000e+000    0.0000e+000    2.3889e-003   -4.8884e-006    6.6734e-006    1.3571e-007    2.3902e-008   -3.1290e-004    1.9646e-007    1.5241e-006    5.0240e-007    3.1630e-004    6.9838e-007    1.9523e-006    2.4063e+002    0.0000e+000    0.0000e+000    3.2896e-004   -4.7425e-005    1.9083e-004
         5  -80.0  -60.0    0.0   45.0    2.1678e+001    1.5703e-006    6.8243e-002    2.7855e-001    4.3880e-001    1.5960e-001    2.0395e-003    4.3242e-002    2.2965e+002    4.5553e-001    1.2336e-001    6.4847e-006    0.0000e+000    0.0000e+000   -1.8468e-006    0.0000e+000    0.0000e+000   -2.1599e-002    1.0519e-008   -2.7278e-006    1.5800e-005    0.0000e+000   -4.9622e-006    0.0000e+000   -1.4245e-006    4.0063e-003   -1.3408e-005    3.6498e-006    1.1856e-005   -4.3825e-007   -3.4744e-007    1.4396e-007    1.4455e-002    1.4392e-005   -2.1098e-005    5.5648e-006    0.0000e+000    0.0000e+000    2.3416e-003   -4.7541e-006    6.5768e-006    1.3042e-007    2.2280e-008   -3.0489e-004    1.9520e-007    1.4772e-006    4.8259e-007    3.0458e-004    6.9761e-007    1.8950e-006    2.3677e+002    0.0000e+000    0.0000e+000    3.2289e-004   -4.6317e-005    1.8744e-004
         6  -80.0  -60.0   45.0   90.0    2.1794e+001    1.5384e-006    6.9858e-002    2.6802e-001    4.4436e-001    1.5854e-001    3.2079e-003    4.8803e-002    2.3300e+002    6.1020e-001    1.6558e-001    6.2134e-006    0.0000e+000    0.0000e+000   -1.7872e-006    0.0000e+000    0.0000e+000   -2.0729e-002    6.8721e-008   -2.6778e-006    1.5188e-005    0.0000e+000   -4.8166e-006    0.0000e+000   -1.3861e-006    3.8057e-003   -1.2826e-005    3.6516e-006    1.1379e-005   -4.1910e-007   -3.4228e-007    1.2693e-007    1.3936e-002    1.3864e-005   -2.0504e-005    5.3996e-006    0.0000e+000    0.0000e+000    2.2626e-003   -4.6696e-006    6.3295e-006    1.3194e-007    2.3719e-008   -3.0116e-004    1.8381e-007    1.4702e-006    4.8428e-007    3.0695e-004    6.4812e-007    1.8653e-006    2.2814e+002    0.0000e+000    0.0000e+000    3.1267e-004   -4.5323e-005    1.8135e-004
         7  -80.0  -60.0   90.0  135.0    2.1760e+001    1.4952e-006    7.4855e-002    2.7428e-001    4.5074e-001    1.5871e-001    2.1993e-003    5.2625e-002    3.3796e+002    6.6635e-001    1.8091e-001    6.0795e-006    0.0000e+000    0.0000e+000   -1.7593e-006    0.0000e+000    0.0000e+000   -2.0265e-002    1.1508e-007   -2.6053e-006    1.4880e-005    0.0000e+000   -4.7551e-006    0.0000e+000   -1.3756e-006    3.6762e-003   -1.2403e-005    3.7257e-006    1.1119e-005   -3.9597e-007   -3.4349e-007    1.1422e-007    1.3674e-002    1.3505e-005   -2.0184e-005    5.3150e-006    0.0000e+000    0.0000e+000    2.2247e-003   -4.6254e-006    6.1135e-006    1.3601e-007    2.5832e-008   -3.0147e-004    1.7390e-007    1.4835e-006    4.9590e-007    3.1516e-004    6.0701e-007    1.8553e-006    2.2272e+002    0.0000e+000    0.0000e+000    3.0374e-004   -4.4508e-005    1.7664e-004
         8  -80.0  -60.0  135.0  180.0    2.1741e+001    1.3358e-006    8.5362e-002    2.5610e-001    4.5343e-001    1.6307e-001    1.4580e-003    6.5614e-002    6.6145e+002    1.5306e+000    4.1686e-001    6.7543e-006    0.0000e+000    0.0000e+000   -1.9890e-006    0.0000e+000    0.0000e+000   -2.2474e-002    4.2965e-007   -2.7860e-006    1.6510e-005    0.0000e+000   -5.3988e-006    0.0000e+000   -1.6037e-006    3.8951e-003   -1.3326e-005    4.9192e-006    1.2252e-005   -3.6554e-007   -4.2259e-007    8.5014e-008    1.5372e-002    1.4957e-005   -2.2924e-005    5.9894e-006    0.0000e+000    0.0000e+000    2.5477e-003   -5.4646e-006    6.3445e-006    1.8669e-007    4.2176e-008   -3.7166e-004    1.5358e-007    1.8601e-006    6.5317e-007    4.2146e-004    5.4777e-007    2.1681e-006    2.4674e+002    0.0000e+000    0.0000e+000    3.3832e-004   -5.2066e-005    1.9422e-004
         9  -60.0  -40.0 -180.0 -150.0    2.2019e+001    1.1495e-006    8.1607e-002    1.9624e-001    4.6531e-001    1.4717e-001    8.0758e-003    9.8434e-002    6.9133e+002    1.4921e+000    4.0633e-001    1.0434e-005    0.0000e+000    0.0000e+000   -3.1430e-006    0.0000e+000    0.0000e+000   -3.4935e-002    1.5787e-006   -4.8405e-006    2.6227e-005    0.0000e+000   -8.8763e-006    0.0000e+000   -2.7251e-006    5.6528e-003   -2.0059e-005    9.2586e-006    1.9305e-005   -5.5940e-007   -7.8923e-007   -8.6624e-009    2.4598e-002    2.3956e-005   -3.7974e-005    9.8015e-006    0.0000e+000    0.0000e+000    3.9653e-003   -9.7658e-006    9.6824e-006    4.0644e-007    1.0591e-007   -6.9535e-004    9.0186e-008    3.5647e-006    1.3296e-006    8.3954e-004    3.9697e-007    3.8655e-006    3.9057e+002    0.0000e+000    0.0000e+000    5.4162e-004   -8.8691e-005    3.0930e-004
