id,WKT,mgo,al2o3,sio2,cao,tio2,feo,potassium,thorium,uranium
90,"POLYGON ((112.5 20.0, 135.0 20.0, 135.0 40.0, 112.5 40.0, 112.5 20.0))",6.096000,26.110000,44.894000,16.882000,0.330260,5.463900,367.9400,0.6877,0.1867
91,"POLYGON ((135.0 20.0, 157.5 20.0, 157.5 40.0, 135.0 40.0, 135.0 20.0))",7.164900,25.155000,44.221000,17.424000,0.379780,5.935000,367.7100,0.7652,0.2079
92,"POLYGON ((157.5 20.0, 180.0 20.0, 180.0 40.0, 157.5 40.0, 157.5 20.0))",6.632100,28.344000,43.023000,17.396000,0.317740,4.847400,260.0300,0.6689,0.1816
93,"POLYGON ((-180.0 40.0, -150.0 40.0, -150.0 60.0, -180.0 60.0, -180.0 40.0))",4.820200,27.095000,44.607000,15.889000,0.293310,4.350000,231.9300,0.4150,0.1123
94,"POLYGON ((-150.0 40.0, -120.0 40.0, -120.0 60.0, -150.0 60.0, -150.0 40.0))",4.820700,28.572000,44.465000,16.681000,0.180270,4.213700,325.0800,0.4992,0.1353
95,"POLYGON ((-120.0 40.0, -90.0 40.0, -90.0 60.0, -120.0 60.0, -120.0 40.0))",6.184200,27.745000,43.690000,16.706000,0.238350,4.620200,545.0600,1.1784,0.3207
96,"POLYGON ((-90.0 40.0, -60.0 40.0, -60.0 60.0, -90.0 60.0, -90.0 40.0))",9.104200,21.208000,41.721000,15.351000,1.135600,9.487900,1430.8000,3.5146,0.9585
97,"POLYGON ((-60.0 40.0, -30.0 40.0, -30.0 60.0, -60.0 60.0, -60.0 40.0))",9.587800,16.721000,38.827000,14.862000,2.121600,13.669000,2563.7000,6.6115,1.8039
98,"POLYGON ((-30.0 40.0, 0.0 40.0, 0.0 60.0, -30.0 60.0, -30.0 40.0))",11.000000,15.998000,38.466000,14.628000,2.153800,15.059000,2223.3000,5.6143,1.5317
99,"POLYGON ((0.0 40.0, 30.0 40.0, 30.0 60.0, 0.0 60.0, 0.0 40.0))",10.275000,19.853000,40.758000,15.002000,1.350200,11.570000,1785.3000,4.4447,1.2124
100,"POLYGON ((30.0 40.0, 60.0 40.0, 60.0 60.0, 30.0 60.0, 30.0 40.0))",9.855600,23.289000,42.391000,14.962000,0.720460,8.600400,1085.0000,2.3945,0.6527
101,"POLYGON ((60.0 40.0, 90.0 40.0, 90.0 60.0, 60.0 60.0, 60.0 40.0))",7.150900,26.087000,43.353000,15.645000,0.522730,5.994200,632.0600,1.2019,0.3271
102,"POLYGON ((90.0 40.0, 120.0 40.0, 120.0 60.0, 90.0 60.0, 90.0 40.0))",6.801900,27.452000,43.805000,15.893000,0.325780,4.440100,463.4300,0.8789,0.2389
